Risk,Return,Type
0.12401867561230619,0.13105468393746422,Simulated
0.12586798014465786,0.12736342509278353,Simulated
0.12415302662515318,0.13136595871223733,Simulated
0.12549540993141517,0.12981109398000745,Simulated
0.11908868328792396,0.12988894537793014,Simulated
0.1262529155555667,0.13343604117440458,Simulated
0.12396424070955431,0.13039348325398717,Simulated
0.12275891982687674,0.12893995829731292,Simulated
0.13266631515714444,0.12996001616340022,Simulated
0.12636068075537732,0.13204444407527727,Simulated
0.12735333683245906,0.13055390559782917,Simulated
0.13154493827398167,0.13076228515093904,Simulated
0.11780032677541406,0.13058251936452847,Simulated
0.11638645803876303,0.12852215137771225,Simulated
0.12124679335502181,0.1301209471757481,Simulated
0.12729511489828255,0.12980275478218467,Simulated
0.12825239851728706,0.13281885939972776,Simulated
0.12137831113393706,0.13098822938415602,Simulated
0.13425048373149095,0.13003855179030793,Simulated
0.1404540979077925,0.1297307712868032,Simulated
0.14722198490352514,0.1295995219879725,Simulated
0.13552778369269863,0.13187102533385645,Simulated
0.1131040080359704,0.13293502874019603,Simulated
0.12035093321926439,0.13222405148708521,Simulated
0.13967023913359633,0.13290538797084034,Simulated
0.14872290445481998,0.12904865636015705,Simulated
0.11959169357304207,0.12990114856300145,Simulated
0.1358330040233786,0.13132874662117916,Simulated
0.1157332582632827,0.12999738679485376,Simulated
0.15138781926459238,0.12761176364251103,Simulated
0.12335671206661836,0.1304063695469444,Simulated
0.12848969407379576,0.13075308513222536,Simulated
0.11941482457073084,0.13056335673782482,Simulated
0.11757941539135562,0.13098232858748227,Simulated
0.11930523604766162,0.12985874177794182,Simulated
0.12456545353262452,0.13011009727806552,Simulated
0.14823516968480874,0.1302767508886829,Simulated
0.11922979844282992,0.132057431378256,Simulated
0.12168109905240172,0.13082568926779603,Simulated
0.15266566459285866,0.12854426660320528,Simulated
0.12372900184645035,0.13109584163211593,Simulated
0.13647160034818867,0.12880065592462017,Simulated
0.12386354531406903,0.1316501843844708,Simulated
0.1229266479006988,0.1305978398691893,Simulated
0.12111326863668011,0.12985093238544285,Simulated
0.13699977206563324,0.13077398498795356,Simulated
0.11854097692245481,0.1290976058583732,Simulated
0.12158446919909363,0.131301622550899,Simulated
0.12365564430657712,0.1301119556894204,Simulated
0.12756871197348424,0.13075977005481948,Simulated
0.1270284297967842,0.1316034855069097,Simulated
0.1273172122305002,0.1306314960673099,Simulated
0.14923438844428483,0.12938183469879946,Simulated
0.1364310025912916,0.12907265534417042,Simulated
0.12417824284178258,0.12835153642956298,Simulated
0.1508450005310638,0.129979113087724,Simulated
0.12686803992284296,0.12950184554754518,Simulated
0.12789323792036494,0.13207027358994805,Simulated
0.12156803959421628,0.1307698098278403,Simulated
0.13336916624721656,0.13280952411999766,Simulated
0.12636657036835433,0.13034503068596998,Simulated
0.12594360961972573,0.13111024554746517,Simulated
0.12649062824518803,0.13182723023991155,Simulated
0.12477066875888809,0.1284750045618302,Simulated
0.11958197365488962,0.12895961957175367,Simulated
0.12265419348682943,0.13180185063903907,Simulated
0.11750848412365832,0.13280549111514586,Simulated
0.1256776419996139,0.12888700638896433,Simulated
0.12558090979140607,0.1295544912491524,Simulated
0.11698962644916172,0.1294103734492052,Simulated
0.14015303195957757,0.12984606781678723,Simulated
0.11832550738043976,0.13232460523983122,Simulated
0.13902191194692387,0.13075752857293513,Simulated
0.12463305986579011,0.13048804552679583,Simulated
0.13367598642639164,0.13010355499053614,Simulated
0.13663385102808315,0.13176719107100257,Simulated
0.12231346161964068,0.13201332298859844,Simulated
0.11345909841332723,0.12952961654232006,Simulated
0.13474548958604562,0.1306942709728482,Simulated
0.12131943914688484,0.13075561555754536,Simulated
0.12181519889583772,0.13054746387375665,Simulated
0.13204807322810058,0.1315446784076294,Simulated
0.11859048147655496,0.13089240321728332,Simulated
0.13226374541559258,0.13124799436502793,Simulated
0.13126191759404157,0.13071807413807507,Simulated
0.1077412962807445,0.12985040724315164,Simulated
0.13162824212757265,0.1324503176846279,Simulated
0.10722112112732732,0.13111271437864813,Max Sharpe
0.10713021317214436,0.13092662111671455,Min Vol
